HITId,WorkerId,Answer.category.label
302U8RURJ04D3PI759V2HM1G13KNVM,A2IP1TOC651QGU,neutral
302U8RURJ04D3PI759V2HM1G13KNVM,A37STRL9Z7ZDSD,angry
302U8RURJ04D3PI759V2HM1G13KNVM,A243WOMORG3NZG,disgust
302U8RURJ04D3PI759V2HM1G13KVNU,A16GH5GPKBX5GA,sad
302U8RURJ04D3PI759V2HM1G13KVNU,AYY9WMJIAPYQT,sad
302U8RURJ04D3PI759V2HM1G13KVNU,A2IP1TOC651QGU,angry
304QEQWKZQNFS9H33R7QBIBVXHCO0A,AYY9WMJIAPYQT,fear
304QEQWKZQNFS9H33R7QBIBVXHCO0A,A16GH5GPKBX5GA,angry
304QEQWKZQNFS9H33R7QBIBVXHCO0A,A621PLVD76XTI,neutral
304QEQWKZQNFS9H33R7QBIBVXHD0ON,A1SX8IVV82M0LW,disgust
304QEQWKZQNFS9H33R7QBIBVXHD0ON,AJ43O59MBI55L,sad
304QEQWKZQNFS9H33R7QBIBVXHD0ON,A30VOAZX8XTNGW,sad
306996CF6XNVG4DCV564J3U6VA01BN,A1TSD3O3C3ZUT6,happy
306996CF6XNVG4DCV564J3U6VA01BN,A1QXU4Q3CK75FK,happy
306996CF6XNVG4DCV564J3U6VA01BN,A2122A7BZNUWXO,happy
306996CF6XNVG4DCV564J3U6VA0B1X,A2HSX08DWDYJU7,neutral
306996CF6XNVG4DCV564J3U6VA0B1X,A19H7KOMN55AMU,neutral
306996CF6XNVG4DCV564J3U6VA0B1X,A3G8NSPRF986WP,neutral
306W7JMRYZ1DR4XXUQFJYDHE9G68BE,A2HSX08DWDYJU7,angry
306W7JMRYZ1DR4XXUQFJYDHE9G68BE,A3CJVRJ34U70Y9,angry
306W7JMRYZ1DR4XXUQFJYDHE9G68BE,A16GH5GPKBX5GA,sad
306W7JMRYZ1DR4XXUQFJYDHE9G6B8H,A1QXU4Q3CK75FK,sad
306W7JMRYZ1DR4XXUQFJYDHE9G6B8H,A3NNDCMBMFK2CZ,neutral
306W7JMRYZ1DR4XXUQFJYDHE9G6B8H,A2WCZJI0MRRBL4,neutral
307FVKVSYSIP6R7556DQCZFDO4J74K,A1SX8IVV82M0LW,sad
307FVKVSYSIP6R7556DQCZFDO4J74K,A1AKYYRYKR4IJ6,sad
307FVKVSYSIP6R7556DQCZFDO4J74K,A3UGMPZAH9KIKG,happy
307L9TDWJZVTRGGOLZPWYR9XAJS3N6,AISFU4P55HYEH,surprise
307L9TDWJZVTRGGOLZPWYR9XAJS3N6,A3RVFAYBGEUVIA,surprise
307L9TDWJZVTRGGOLZPWYR9XAJS3N6,A24JKHC4HTY6CD,neutral
3087LXLJ6NJLMW4A4OO0OO2H5GM0F1,A2RV6QX6SN4YIC,surprise
3087LXLJ6NJLMW4A4OO0OO2H5GM0F1,A2UFVUTKGCQK8U,fear
3087LXLJ6NJLMW4A4OO0OO2H5GM0F1,A1SX8IVV82M0LW,neutral
